종목명,종목코드,전일가
아세아시멘트,183190,122000
KBSTAR 채권혼합,183700,62845
KBSTAR 주식혼합,183710,43195
KODEX 미국S&P바이오(,185680,29470
종근당,185750,111000
ARIRANG 글로벌MSCI(,189400,18365
KINDEX 단기통안채,190620,100110
더블유게임즈,192080,57900
TIGER 차이나CSI300,192090,12100
쿠쿠홀딩스,192400,19150
드림텍,192650,12100
파워 고배당저변동성,192720,30560
코스맥스,192820,87400
제이에스코퍼레이션,194370,21400
해성디에스,195870,48850
TIGER 일본TOPIX(합성,195920,16475
TIGER 유로스탁스50(,195930,14575
ARIRANG 선진국MSCI(,195970,12385
ARIRANG 신흥국MSCI(,195980,11665
KINDEX 일본TOPIX레버,196030,22040
KBSTAR 단기통안채,196230,104805
KODEX 미국S&P산업재(,200030,22000
KOSEF 인도Nifty50(합,200250,18610
서연이화,200880,7050
TIGER 미국나스닥바이,203780,20710
모두투어리츠,204210,4750
만도,204320,63400
KODEX 차이나H레버리,204450,3860
TIGER 차이나CSI300레,204480,32975
KINDEX 일본TOPIX인버,205720,4155
삼성바이오로직스,207940,903000
SOL 선진국MSCI World,208470,19795
디와이파워,210540,12950
TIGER 코스피고배당,210780,15700
SK디앤디,210980,31750
TIGER 배당성장,211560,19290
KODEX 배당성장,211900,15560
한솔제지,213500,13500
KODEX 삼성그룹밸류,213610,9365
ARIRANG 미국다우존스,213630,16155
이노션,214320,55400
금호에이치티,214330,2115
경보제약,214390,10750
토니모리,214420,4715
KODEX 단기채권PLUS,214980,103435
HK S&P코리아로우볼,215620,12245
TIGER 원유선물인버스,217770,5000
TIGER 차이나CSI300인,217780,7175
TIGER 가격조정,217790,24845
KODEX 미국S&P에너지(,218420,7780
KBSTAR 미국S&P원유생,219390,4525
KODEX 미국S&P500선물,219480,23095
KINDEX 중국본토CSI30,219900,5765
SOL 중국본토 중소형,220130,6400
KODEX 200가치저변동,223190,10900
TIGER 미국S&P500선물,225030,3460
TIGER 미국S&P500레버,225040,38490
TIGER 유로스탁스레버,225050,10760
TIGER 이머징마켓MSCI,225060,12420
KINDEX 골드선물 레버,225130,16735
KOSEF 미국달러선물레,225800,9665
잇츠한불,226320,17700
KINDEX Fn성장소비주,226380,7820
KODEX 코스피,226490,30325
KODEX 200 중소형,226980,13920
TIGER 200 헬스케어,227540,22165
TIGER 200 산업재,227550,6245
TIGER 200 생활소비재,227560,9920
TIGER 우량가치,227570,11955
ARIRANG 코스피,227830,31085
현대코퍼레이션홀딩스,227840,11900
TIGER 화장품,228790,2795
TIGER 여행레저,228800,4820
TIGER 미디어컨텐츠,228810,9815
TIGER KTOP30,228820,10560
KODEX 코스닥 150,229200,15070
LS전선아시아,229640,7930
KODEX KTOP30,229720,21270
KOSEF 미국달러선물인,230480,7700
TIGER 코스닥150,232080,15360
TIGER 코스닥150 레버,233160,17795
KODEX 코스닥150 레버,233740,16525
JW생명과학,234080,13850
KBSTAR V&S셀렉트밸류,234310,15510
TIGER 인도니프티50레,236350,24745
KODEX 코스피100,237350,30745
KODEX 배당성장채권혼,237370,12055
TIGER 경기방어채권혼,237440,9565
ARIRANG 스마트베타Qu,238670,10995
KINDEX 일본Nikkei225,238720,19000
ARIRANG 우량회사채50,239660,108755
TIGER 일본니케이225,241180,17490
KBSTAR V&S셀렉트밸류,241390,12315
두산밥캣,241560,40750
화승엔터프라이즈,241590,16850
TIGER 200IT레버리지,243880,63100
TIGER 200에너지화학,243890,17690
KODEX 바이오,244580,12440
KODEX 모멘텀Plus,244620,13350
KODEX 퀄리티Plus,244660,10555
KODEX 밸류Plus,244670,9540
에이플러스에셋,244920,8850
TIGER 미국다우존스30,245340,21710
TIGER 유로스탁스배당,245350,13170
TIGER 차이나HSCEI,245360,10040
KINDEX 베트남VN30(합,245710,23245
솔루엠,248070,22450
샘표식품,248170,44750
TIGER 일본TOPIX헬스,248260,10970
TIGER S&P글로벌헬스,248270,19430
일동제약,249420,33600
KBSTAR 차이나HSCEI(H,250730,9340
TIGER 코스닥150선물,250780,4125
